Hashtag,Count
style,11
nyc,6
\xd0\xbe\xd1\x80\xd0\xb8\xd0\xb3\xd0\xb8\xd0\xbd\xd0\xb0\xd0\xbb,5
luxury,5
\xd1\x88\xd0\xbe\xd0\xbf\xd0\xbf\xd0\xb8\xd0\xbd\xd0\xb3,5
\xd0\xb7\xd0\xb0\xd0\xba\xd0\xb0\xd0\xb7\xd0\xb0\xd1\x82\xd1\x8c,5
\xd1\x81\xd1\x82\xd0\xb8\xd0\xbb\xd1\x8c,5
luxe,5
\xd0\xbc\xd0\xbe\xd0\xb4\xd0\xb0,5
newyork,5
\xd1\x88\xd0\xb8\xd0\xba,5
\xd0\xbf\xd0\xbe\xd1\x81\xd1\x8b\xd0\xbb\xd0\xba\xd0\xb8,5
\xd0\xbb\xd1\x8e\xd0\xba\xd1\x81,5
instacool,5
shopping,5
